Role,Account Name,Email / Username,Password,Landing Route,Permission Scope
Full Administrator,Administrator 1,admin1@smarthorizon.com,panda1,/dashboard,Full System Administration & Controls
Full Administrator,Administrator 2,admin2@smarthorizon.com,panda2,/dashboard,Full System Administration & Controls
Full Administrator,Administrator 3,admin3@smarthorizon.com,panda3,/dashboard,Full System Administration & Controls
Full Administrator,Administrator 4,admin4@smarthorizon.com,panda4,/dashboard,Full System Administration & Controls
Full Administrator,Administrator 5,admin5@smarthorizon.com,panda5,/dashboard,Full System Administration & Controls
Full Administrator,Administrator 6,admin6@smarthorizon.com,panda6,/dashboard,Full System Administration & Controls
Full Administrator,Administrator 7,admin7@smarthorizon.com,panda7,/dashboard,Full System Administration & Controls
Full Administrator,Administrator 8,admin8@smarthorizon.com,panda8,/dashboard,Full System Administration & Controls
Full Administrator,Administrator 9,admin9@smarthorizon.com,panda9,/dashboard,Full System Administration & Controls
Full Administrator,Administrator 10,admin10@smarthorizon.com,panda10,/dashboard,Full System Administration & Controls
Check-In Admin,Check-In Terminal 1,checkin1@smarthorizon.com,panda1,/checkin,QR Scanner & Venue Attendance
Check-In Admin,Check-In Terminal 2,checkin2@smarthorizon.com,panda2,/checkin,QR Scanner & Venue Attendance
Check-In Admin,Check-In Terminal 3,checkin3@smarthorizon.com,panda3,/checkin,QR Scanner & Venue Attendance
Check-In Admin,Check-In Terminal 4,checkin4@smarthorizon.com,panda4,/checkin,QR Scanner & Venue Attendance
Check-In Admin,Check-In Terminal 5,checkin5@smarthorizon.com,panda5,/checkin,QR Scanner & Venue Attendance
Check-In Admin,Check-In Terminal 6,checkin6@smarthorizon.com,panda6,/checkin,QR Scanner & Venue Attendance
Check-In Admin,Check-In Terminal 7,checkin7@smarthorizon.com,panda7,/checkin,QR Scanner & Venue Attendance
Check-In Admin,Check-In Terminal 8,checkin8@smarthorizon.com,panda8,/checkin,QR Scanner & Venue Attendance
Check-In Admin,Check-In Terminal 9,checkin9@smarthorizon.com,panda9,/checkin,QR Scanner & Venue Attendance
Check-In Admin,Check-In Terminal 10,checkin10@smarthorizon.com,panda10,/checkin,QR Scanner & Venue Attendance
Data Entry / Marks Terminal,Marks Entry Terminal 1,dataentry1@smarthorizon.com,panda1,/admin/data-entry,Score Ingestion & Rapid Evaluation Entry
Data Entry / Marks Terminal,Marks Entry Terminal 2,dataentry2@smarthorizon.com,panda2,/admin/data-entry,Score Ingestion & Rapid Evaluation Entry
Data Entry / Marks Terminal,Marks Entry Terminal 3,dataentry3@smarthorizon.com,panda3,/admin/data-entry,Score Ingestion & Rapid Evaluation Entry
Data Entry / Marks Terminal,Marks Entry Terminal 4,dataentry4@smarthorizon.com,panda4,/admin/data-entry,Score Ingestion & Rapid Evaluation Entry
Data Entry / Marks Terminal,Marks Entry Terminal 5,dataentry5@smarthorizon.com,panda5,/admin/data-entry,Score Ingestion & Rapid Evaluation Entry
Data Entry / Marks Terminal,Marks Entry Terminal 6,dataentry6@smarthorizon.com,panda6,/admin/data-entry,Score Ingestion & Rapid Evaluation Entry
Data Entry / Marks Terminal,Marks Entry Terminal 7,dataentry7@smarthorizon.com,panda7,/admin/data-entry,Score Ingestion & Rapid Evaluation Entry
Data Entry / Marks Terminal,Marks Entry Terminal 8,dataentry8@smarthorizon.com,panda8,/admin/data-entry,Score Ingestion & Rapid Evaluation Entry
Data Entry / Marks Terminal,Marks Entry Terminal 9,dataentry9@smarthorizon.com,panda9,/admin/data-entry,Score Ingestion & Rapid Evaluation Entry
Data Entry / Marks Terminal,Marks Entry Terminal 10,dataentry10@smarthorizon.com,panda10,/admin/data-entry,Score Ingestion & Rapid Evaluation Entry
